BIO,BIO,BIO,BIO,BIO,BIO,ALB,ALB,ALB,ALB,ALB,ALB,C,C,C,C,C,C
Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
469.8999938964844,477.2799987792969,462.9200134277344,467.5199890136719,467.5199890136719,211200,208.75,215.39999389648438,204.66000366210938,213.1999969482422,211.08294677734375,1795300,44.709999084472656,45.7400016784668,43.90999984741211,44.09000015258789,42.15673828125,31899900
470.760009765625,480.6099853515625,470.760009765625,480.2900085449219,480.2900085449219,156100,218.5800018310547,223.91000366210938,216.77000427246094,222.92999267578125,220.71629333496094,1905100,45.56999969482422,46.02000045776367,44.95000076293945,45.06999969482422,43.09376907348633,29835600
480.04998779296875,482.95001220703125,465.739990234375,466.2099914550781,466.2099914550781,155500,223.38999938964844,225.83999633789062,216.07000732421875,216.11000061035156,213.9640350341797,1515900,45.18000030517578,45.310001373291016,43.68000030517578,43.709999084472656,41.793399810791016,21672000
467.4200134277344,469.79998779296875,451.0,456.32000732421875,456.32000732421875,194100,218.5800018310547,224.55999755859375,213.07000732421875,215.63999938964844,213.49868774414062,1422800,44.310001373291016,44.849998474121094,43.11000061035156,43.45000076293945,41.544803619384766,24112600
452.75,460.8999938964844,450.04998779296875,460.7799987792969,460.7799987792969,138400,212.41000366210938,217.94000244140625,208.6699981689453,217.7899932861328,215.62733459472656,1588200,42.84000015258789,43.119998931884766,42.0099983215332,43.11000061035156,41.21971130371094,25453900
464.489990234375,471.6300048828125,463.3500061035156,470.54998779296875,470.54998779296875,150400,220.9499969482422,221.9600067138672,216.60000610351562,218.8800048828125,216.70652770996094,2045000,44.060001373291016,45.0,43.880001068115234,44.779998779296875,42.81648254394531,29335200
468.5299987792969,472.9100036621094,467.3599853515625,471.0,471.0,98300,222.3000030517578,224.7100067138672,216.47000122070312,218.16000366210938,215.99366760253906,1817500,44.720001220703125,45.22999954223633,44.4900016784668,45.220001220703125,43.2371940612793,16206000
473.70001220703125,477.54998779296875,468.989990234375,471.9700012207031,471.9700012207031,89500,223.0,224.7100067138672,218.55999755859375,224.4600067138672,222.23110961914062,1373900,45.59000015258789,46.0099983215332,45.459999084472656,45.95000076293945,43.93518829345703,15047000
477.5299987792969,480.739990234375,468.79998779296875,471.7799987792969,471.7799987792969,115700,228.66000366210938,229.32000732421875,222.42999267578125,222.44000244140625,220.23117065429688,1294000,46.47999954223633,46.63999938964844,45.7400016784668,46.06999969482422,44.049922943115234,14226400
471.7799987792969,479.4100036621094,469.7099914550781,479.0199890136719,479.0199890136719,143000,223.22999572753906,224.57000732421875,219.22000122070312,221.0399932861328,218.84506225585938,1835400,46.599998474121094,46.970001220703125,46.33000183105469,46.88999938964844,44.83396530151367,16009200
476.4700012207031,477.8299865722656,461.0,464.82000732421875,464.82000732421875,146000,221.22000122070312,223.2899932861328,217.30999755859375,218.42999267578125,216.260986328125,1507600,47.13999938964844,47.4900016784668,46.43000030517578,46.709999084472656,44.661861419677734,16633100
465.260009765625,468.4200134277344,461.1099853515625,462.32000732421875,462.32000732421875,116100,216.94000244140625,216.94000244140625,207.1999969482422,209.57000732421875,207.48898315429688,2212500,46.900001525878906,47.02000045776367,45.650001525878906,46.09000015258789,44.06904602050781,15542400
459.989990234375,468.8299865722656,459.989990234375,463.79998779296875,463.79998779296875,80100,200.9600067138672,201.1199951171875,193.25999450683594,196.7100067138672,194.75669860839844,4657500,45.470001220703125,46.189998626708984,45.310001373291016,45.77000045776367,43.76307678222656,11739100
462.6099853515625,466.42999267578125,456.6499938964844,466.239990234375,466.239990234375,95600,195.17999267578125,195.99000549316406,193.02000427246094,194.67999267578125,192.746826171875,2014400,45.79999923706055,46.209999084472656,45.52000045776367,45.86000061035156,43.84912872314453,11918100
463.1700134277344,470.30999755859375,459.3699951171875,469.95001220703125,469.95001220703125,107200,194.47000122070312,199.89999389648438,193.58999633789062,199.82000732421875,197.83580017089844,2008200,45.790000915527344,46.7599983215332,45.77000045776367,46.52000045776367,44.480194091796875,11777100
473.3299865722656,477.3500061035156,470.44000244140625,472.010009765625,472.010009765625,82200,201.30999755859375,202.35000610351562,197.0500030517578,201.7100067138672,199.70703125,1736700,46.66999816894531,47.369998931884766,46.59000015258789,47.20000076293945,45.130374908447266,14177300
476.57000732421875,482.82000732421875,475.6000061035156,476.8299865722656,476.8299865722656,116200,205.85000610351562,206.75999450683594,201.44000244140625,201.6999969482422,199.69712829589844,1320100,47.47999954223633,47.63999938964844,46.52000045776367,46.91999816894531,44.862648010253906,14330900
478.8500061035156,486.9599914550781,476.75,485.7099914550781,485.7099914550781,90100,203.19000244140625,205.33999633789062,199.9600067138672,203.00999450683594,200.99412536621094,1280100,46.900001525878906,47.59000015258789,46.58000183105469,47.29999923706055,45.225990295410156,15578900
486.5,494.04998779296875,478.760009765625,479.25,479.25,134800,204.58999633789062,212.47000122070312,203.52999877929688,204.0,201.97427368164062,2266800,48.16999816894531,49.88999938964844,48.02000045776367,49.560001373291016,47.386898040771484,33064500
479.8900146484375,485.4200134277344,476.0899963378906,481.510009765625,481.510009765625,122700,205.02000427246094,208.3699951171875,204.52999877929688,205.89999389648438,203.85540771484375,3497800,49.7599983215332,49.810001373291016,49.09000015258789,49.689998626708984,47.51119613647461,19590400
481.54998779296875,481.54998779296875,475.44000244140625,479.1600036621094,479.1600036621094,99900,209.64999389648438,212.22000122070312,203.94000244140625,205.27000427246094,203.231689453125,2059800,49.93000030517578,50.29999923706055,49.45000076293945,50.08000183105469,47.88409423828125,16616200
