BIO,BIO,BIO,BIO,BIO,BIO,C,C,C,C,C,C
Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
427.0799865722656,431.2200012207031,417.6099853515625,422.42999267578125,422.42999267578125,243200,45.75,46.75,45.540000915527344,45.779998779296875,43.75883865356445,19564000
429.04998779296875,438.4599914550781,425.989990234375,433.70001220703125,433.70001220703125,218600,46.540000915527344,47.540000915527344,46.34000015258789,46.959999084472656,44.886741638183594,21507200
427.8699951171875,435.70001220703125,420.4800109863281,430.3699951171875,430.3699951171875,181000,46.70000076293945,46.959999084472656,45.970001220703125,46.75,44.686012268066406,12314900
434.04998779296875,434.6000061035156,415.0400085449219,418.67999267578125,418.67999267578125,166300,47.060001373291016,47.689998626708984,46.61000061035156,47.310001373291016,45.221290588378906,16736300
424.79998779296875,431.6000061035156,422.1000061035156,425.989990234375,425.989990234375,168400,47.88999938964844,48.31999969482422,47.470001220703125,47.540000915527344,45.441139221191406,16745500
425.4599914550781,441.3999938964844,425.4599914550781,432.9200134277344,432.9200134277344,117600,47.560001373291016,48.209999084472656,47.20000076293945,48.189998626708984,46.062442779541016,12429900
437.0,466.3299865722656,437.0,461.1700134277344,461.1700134277344,313600,48.209999084472656,48.7400016784668,47.86000061035156,48.709999084472656,46.559478759765625,17143700
460.1499938964844,462.6400146484375,447.4100036621094,451.7799987792969,451.7799987792969,141400,49.060001373291016,49.47999954223633,48.54999923706055,49.09000015258789,46.92271041870117,16287800
449.30999755859375,457.0,443.3999938964844,455.20001220703125,455.20001220703125,102900,48.5099983215332,50.22999954223633,47.7400016784668,49.91999816894531,47.71605682373047,28037000
455.17999267578125,459.3500061035156,447.8900146484375,454.9200134277344,454.9200134277344,120600,49.86000061035156,50.7400016784668,49.7400016784668,50.310001373291016,48.08884048461914,28193500
457.0,464.2300109863281,451.2799987792969,452.3599853515625,452.3599853515625,116000,50.2400016784668,50.47999954223633,49.2400016784668,49.43000030517578,47.2476921081543,18952000
447.1499938964844,451.739990234375,442.0899963378906,450.54998779296875,450.54998779296875,73600,48.650001525878906,49.599998474121094,48.470001220703125,49.369998931884766,47.19034194946289,14869100
451.80999755859375,457.5,448.82000732421875,457.2900085449219,457.2900085449219,107600,49.68000030517578,51.11000061035156,49.2599983215332,51.09000015258789,48.834407806396484,19957300
457.44000244140625,470.07000732421875,457.44000244140625,467.0400085449219,467.0400085449219,126100,51.04999923706055,52.290000915527344,50.880001068115234,51.97999954223633,49.68511199951172,18531200
460.32000732421875,462.67999267578125,453.4599914550781,457.0,457.0,142000,51.41999816894531,51.95000076293945,50.41999816894531,51.41999816894531,49.14983367919922,13303200
451.5199890136719,457.5899963378906,446.57000732421875,456.69000244140625,456.69000244140625,107300,50.849998474121094,51.939998626708984,50.849998474121094,51.900001525878906,49.608646392822266,20719000
