#,Symbol,Last Trade,Change,% Change,Description,P/E (ttm),Dividend Yield,Notes, 
50,JNJ,157.38,+1.64,+1.05,Johnson & Johnson,30.36,3.02,, 
39,JPM,179.26,+3.2325,+1.84,Jpmorgan Chase & Co,10.83,2.34,, 
89,KARS,21.70,+0.3971,+1.86,Kranshrs Elctr Vhcl Ftr,,1.06,, 
103,KBH,62.47,+0.775,+1.26,Kb Home,9.03,1.28,, 
26,LOGI,87.80,+0.70,+0.80,Logitech Intl S A      F,27.77,1.36,, 
7,LRCX,914.87,-0.8301,-0.09,Lam Research Corp,35.12,0.87,, 
84,LTHM,16.25,0.00,--,Livent Corp          Xxx,,--,, 
94,LUV,34.29,+0.535,+1.59,Southwest Airlines,43.01,2.10,, 
22,MA,470.56,+5.365,+1.15,Mastercard Inc Cl A,38.78,0.56,, 
5,MELI,1763.62,+17.25,+0.99,Mercadolibre Inc,88.63,--,(Notes), 
82,MRNA,90.47,+4.52,+5.26,Moderna Inc,,--,, 
8,MSFT,404.98,-4.51,-1.10,Microsoft Corp,37.54,0.74,, 
68,MTUM,178.79,-0.02,-0.01,Ishares Msci Usa Momntum,,1.18,, 
121,MU,82.27,+0.44,+0.54,Micron Technology,,0.56,, 
44,NAT,4.215,+0.055,+1.32,Nordic Amern Tank      F,7.51,5.69,, 
47,NCLH,16.61,+0.06,+0.36,Norwegian Cruise Lin   F,,--,, 
65,NIO,6.10,+0.10,+1.67,Nio Inc                F,,--,, 
71,NKLA,0.7347,+0.026,+3.67,Nikola Corp,,--,, 
6,NOK,3.525,+0.005,+0.14,Nokia Oyj              F,28.27,3.69,, 
60,NOW,791.37,-0.6275,-0.08,Service Now Inc,93.51,--,, 
102,NTLA,28.70,+0.42,+1.49,Intellia Therapeutics In,,--,(Notes), 
64,NVDA,732.08,-6.9218,-0.94,Nvidia Corp,95.17,0.02,, 
80,PANW,364.05,-4.285,-1.16,Palo Alto Networks,209.19,--,, 
63,PDD,135.05,+3.04,+2.30,Pdd Holdings Inc       F,29.97,--,, 
55,PFE,27.46,+0.345,+1.27,Pfizer Inc,74.76,6.12,, 
107,PHMMF,36.11,-8.02,-18.17,Pharma Mar Sa       Ordf,,--,(Notes), 
78,PLL,13.98,+0.415,+3.06,Piedmont Lithium Inc,,--,, 
124,PLTR,25.13,-0.0586,-0.23,Palantir Technologies In,278.33,--,, 
109,PLUG,4.01,-0.22,-5.20,Plug Power Inc,,--,, 
115,PRNT,22.42,+0.28,+1.26,3D Printing Etf,,--,, 
45,PYPL,59.56,+0.6925,+1.18,Paypal Holdings Incorpor,15.65,--,, 
20,QCOM,156.09,+2.15,+1.40,Qualcomm Inc,21.84,2.05,, 
117,QQQ,432.85,-0.37,-0.09,Invsc Qqq Trust Srs 1,4.77,0.54,, 
33,RCL,118.24,+1.605,+1.38,Royal Caribbean Group  F,18.55,--,, 
18,RDWR,18.16,-0.31,-1.68,Radware Ltd            F,,--,, 
59,RIO,67.47,+0.39,+0.58,Rio Tinto Plc          F,12.63,5.96,, 
105,ROKU,92.00,+0.76,+0.83,Roku I N C,,--,(Notes), 
66,RSP,160.14,+1.35,+0.85,Invsc S P 500 Equal,,1.61,, 
17,SAP,176.95,-0.52,-0.29,Sap Se                 F,51.39,1.26,, 
70,SHW,312.55,+1.52,+0.49,Sherwin Williams Co,33.21,0.77,(Notes), 
73,SNOW,230.72,-5.28,-2.24,Snowflake Inc,,--,, 
25,SPHD,41.77,+0.58,+1.41,Invesco S&P 500 High,,4.57,, 
